video,file,label,original,frame,fold
egghxjjmfg,200_0.png,0,egghxjjmfg,200,1
eqvuznuwsa,110_0.png,1,cmbzllswnl,110,1
brwrlczjvi,250_0.png,0,brwrlczjvi,250,1
ccfoszqabv,30_0.png,0,ccfoszqabv,30,1
ehdkmxgtxh,180_0.png,1,bejhvclboh,180,1
dakiztgtnw,210_0.png,0,dakiztgtnw,210,1
btjlfpzbdu,40_0.png,1,drcyabprvt,40,1
crezycjqyk,20_0.png,0,crezycjqyk,20,1
dhkwmjxwrn,160_0.png,1,ehccixxzoe,160,1
bbhtdfuqxq,230_0.png,1,cpjxareypw,230,1
emaalmsonj,200_0.png,1,dzyuwjkjui,200,1
ebchwmwayp,120_1.png,1,ehccixxzoe,120,1
aorjvbyxhw,140_0.png,1,bulkxhhknf,140,1
djxdyjopjd,240_1.png,0,djxdyjopjd,240,1
dhkwmjxwrn,60_1.png,1,ehccixxzoe,60,1
btohlidmru,200_0.png,1,cyxlcuyznd,200,1
eqvuznuwsa,290_0.png,1,cmbzllswnl,290,1
crezycjqyk,230_0.png,0,crezycjqyk,230,1
cprhtltsjp,190_0.png,0,cprhtltsjp,190,1
eckvhdusax,150_0.png,0,eckvhdusax,150,1
cizlkenljw,140_0.png,0,cizlkenljw,140,1
brwrlczjvi,130_0.png,0,brwrlczjvi,130,1
bgwmmujlmc,40_0.png,0,bgwmmujlmc,40,1
edyncaijwx,200_1.png,0,edyncaijwx,200,1
aorjvbyxhw,20_0.png,1,bulkxhhknf,20,1
dlpoieqvfb,10_0.png,0,dlpoieqvfb,10,1
dbtbbhakdv,190_0.png,0,dbtbbhakdv,190,1
adylbeequz,240_0.png,1,dlpoieqvfb,240,0
dnyvfblxpm,70_0.png,1,eckvhdusax,70,0
cyxlcuyznd,20_0.png,0,cyxlcuyznd,20,0
dnyvfblxpm,30_0.png,1,eckvhdusax,30,0
apatcsqejh,50_1.png,1,edyncaijwx,50,0
cxrfacemmq,30_0.png,1,dlpoieqvfb,30,0
btohlidmru,110_0.png,1,cyxlcuyznd,110,0
agqphdxmwt,100_0.png,1,aytzyidmgs,100,0
egghxjjmfg,70_0.png,0,egghxjjmfg,70,0
bvzjkezkms,230_0.png,1,ekcrtigpab,230,0
bqqpbzjgup,180_0.png,1,djxdyjopjd,180,0
bulkxhhknf,40_0.png,0,bulkxhhknf,40,0
edyncaijwx,280_1.png,0,edyncaijwx,280,0
ehccixxzoe,100_0.png,0,ehccixxzoe,100,0
duycddgtrl,90_0.png,0,duycddgtrl,90,0
btmsngnqhv,100_0.png,1,crezycjqyk,100,0
apatcsqejh,290_1.png,1,edyncaijwx,290,0
asmpfjfzif,160_0.png,1,dzyuwjkjui,160,0
ehdkmxgtxh,20_0.png,1,bejhvclboh,20,0
adylbeequz,130_0.png,1,dlpoieqvfb,130,0
dbnygxtwek,0_0.png,0,dbnygxtwek,0,0
drcyabprvt,230_0.png,0,drcyabprvt,230,0
cppdvdejkc,110_0.png,0,cppdvdejkc,110,0
dbtbbhakdv,210_0.png,0,dbtbbhakdv,210,0
bnjcdrfuov,240_0.png,1,ellavthztb,240,0
bdnaqemxmr,100_0.png,0,bdnaqemxmr,100,0
cmbzllswnl,160_0.png,0,cmbzllswnl,160,0
bsqgziaylx,90_1.png,1,brwrlczjvi,90,0
cxrfacemmq,280_0.png,1,dlpoieqvfb,280,0
aorjvbyxhw,0_0.png,1,bulkxhhknf,0,0
ehdkmxgtxh,200_0.png,1,bejhvclboh,200,0
ellavthztb,200_0.png,0,ellavthztb,200,0
adylbeequz,290_0.png,1,dlpoieqvfb,290,0
bpxckdzddv,20_0.png,1,cizlkenljw,20,0
dfbpceeaox,170_0.png,1,bffwsjxghk,170,0
bzythlfnhq,80_0.png,0,bzythlfnhq,80,0
bbhtdfuqxq,50_0.png,1,cpjxareypw,50,0
btmsngnqhv,190_0.png,1,crezycjqyk,190,0
dbtbbhakdv,10_0.png,0,dbtbbhakdv,10,0
ehccixxzoe,160_0.png,0,ehccixxzoe,160,0
dhkwmjxwrn,40_0.png,1,ehccixxzoe,40,0
dnyvfblxpm,250_0.png,1,eckvhdusax,250,0
brwrlczjvi,100_0.png,0,brwrlczjvi,100,0
cyxlcuyznd,80_0.png,0,cyxlcuyznd,80,0
cmbzllswnl,230_0.png,0,cmbzllswnl,230,0
apatcsqejh,260_0.png,1,edyncaijwx,260,0
bbhtdfuqxq,100_0.png,1,cpjxareypw,100,0
bpxckdzddv,110_0.png,1,cizlkenljw,110,0
